73	20	96	100	3	56	14	56	22	66
81	69	26	37	92	66	56	29	32	96
66	91	42	92	62	94	87	5	16	84
99	49	92	82	51	84	91	88	53	33
33	96	86	46	85	32	99	37	43	19
63	38	35	100	18	77	93	78	95	70
80	71	84	79	74	54	36	10	74	86
42	77	90	67	8	98	6	57	10	94
54	1	99	58	32	58	68	74	71	29
73	37	68	9	38	9	66	79	32	48
7	68	60	90	58	99	28	60	61	78
65	76	24	8	34	7	22	28	23	28
40	75	67	88	19	54	82	10	28	54
38	82	40	63	23	44	74	16	98	81
1	18	53	52	62	75	61	44	60	90
39	29	7	13	10	13	13	23	46	48
14	24	23	87	18	68	24	81	37	31
78	46	59	41	85	17	35	42	86	34
75	93	91	74	92	28	19	6	51	92
87	16	89	71	29	2	38	13	100	58
17	98	70	1	85	39	53	71	33	4
56	99	25	21	87	51	35	10	59	85
89	30	95	51	89	21	65	83	90	99
76	88	49	83	56	69	73	91	25	68
17	57	3	84	70	44	40	32	14	14
88	33	23	96	51	65	20	84	32	6
31	59	5	96	77	94	44	94	40	74
20	20	50	31	85	55	6	62	50	100
30	76	5	19	10	43	52	60	37	60
60	45	75	78	19	79	8	85	13	26
87	46	86	79	94	4	17	63	57	97
40	31	13	73	73	40	84	62	36	47
34	74	19	27	94	6	57	49	80	90
68	72	88	52	21	31	89	6	28	11
82	93	18	81	4	45	93	39	50	27
61	35	56	31	74	25	12	73	94	81
67	69	4	36	12	97	75	93	36	29
46	24	94	3	86	20	15	84	17	10
94	58	61	49	50	68	51	28	60	61
39	75	36	98	24	71	37	66	97	91
78	72	47	76	71	20	75	15	17	82
48	72	85	11	32	49	10	21	54	4
78	28	90	45	5	95	36	6	47	8
82	70	30	47	4	15	98	28	16	11
62	11	31	80	69	30	6	54	16	2
41	7	84	48	61	70	76	42	19	88
61	63	57	28	75	1	94	6	67	49
96	62	75	8	61	64	20	89	55	67
31	32	57	27	53	62	71	62	60	67
58	54	27	49	1	56	25	63	6	58
66	38	88	66	19	47	43	2	44	72
12	43	39	54	99	69	14	22	6	76
100	12	12	99	30	34	71	27	79	87
32	45	83	43	30	51	44	10	58	45
62	53	46	94	36	10	10	10	73	62
69	38	3	68	20	69	60	83	87	42
27	33	21	55	18	71	87	60	39	51
26	30	73	75	33	75	11	26	23	74
98	26	10	60	97	84	28	30	99	4
15	13	61	60	60	83	17	73	26	4
63	59	85	48	45	44	60	25	47	42
20	51	21	30	74	65	52	29	34	52
66	36	86	55	66	32	35	17	51	31
60	84	46	6	83	38	70	76	55	81
38	77	3	30	38	70	59	15	89	53
10	73	89	20	65	67	77	59	65	72
13	91	73	35	38	100	85	1	59	45
40	37	7	45	61	64	33	58	64	16
72	77	2	95	1	62	79	46	25	14
45	18	75	2	50	64	12	97	69	96
11	13	11	54	33	66	75	10	17	59
99	95	20	36	12	84	51	61	66	39
70	41	51	41	67	70	18	10	82	9
74	53	93	22	47	91	30	62	38	33
36	85	20	39	88	96	12	39	25	15
10	76	69	18	38	45	48	45	23	65
69	49	50	54	17	38	50	51	33	32
24	26	7	2	44	48	72	7	24	10
51	46	41	85	7	95	57	75	78	24
6	1	36	59	86	39	43	77	37	36
96	27	72	75	98	82	52	66	10	22
67	96	60	24	36	45	63	90	2	28
70	40	46	45	64	14	9	51	52	18
68	46	36	15	16	57	4	78	75	66
28	71	52	94	54	82	2	44	87	88
72	88	97	66	18	36	98	33	90	76
76	70	50	93	69	53	7	75	68	57
20	52	6	73	76	35	23	41	11	24
94	94	63	78	5	8	10	90	11	61
42	42	1	75	93	43	28	36	37	96
21	23	79	85	41	11	70	17	96	53
74	23	13	20	18	91	64	40	95	27
54	59	88	76	98	39	86	79	39	65
18	55	27	34	63	35	38	15	64	53
19	29	57	32	11	12	6	5	32	19
98	84	52	67	53	61	41	22	60	61
29	39	6	53	97	21	57	15	59	21
30	37	3	91	12	58	82	76	31	74
83	83	4	34	74	38	30	66	97	79
23	100	61	2	32	97	96	12	49	52
